"Mã Test Case","Mô tả","Mô-đun/Màn hình","Loại","Điều kiện tiền đề","Các bước kiểm thử","Dữ liệu đầu vào","Kết quả mong đợi","Kết quả thực tế","Môi trường thử nghiệm","Trạng thái","Người kiểm thử","Ngày","Ghi chú"
"TC-AUTH-042","Kiểm tra đăng nhập với mật khẩu không hợp lệ","Đăng nhập","Tiêu cực","Người dùng mở trang đăng nhập","1. Mở trang đăng nhập; 2. Nhập email hợp lệ và mật khẩu không hợp lệ; 3. Gửi","Email hợp lệ/mật khẩu không hợp lệ","Hiển thị thông báo lỗi","Hiển thị thông báo lỗi","Chrome","Không đạt","Nhóm QA","2026-06-03","Lỗi đã biết trước khi sửa tháng 7"
"TC-AUTH-043","Kiểm tra đăng nhập với email không tồn tại","Đăng nhập","Tiêu cực","Người dùng mở trang đăng nhập","1. Mở trang đăng nhập; 2. Nhập email không tồn tại; 3. Gửi","Email/mật khẩu không tồn tại","Hiển thị thông báo lỗi","Hiển thị thông báo lỗi","Chrome","Đạt","Nhóm QA","2026-06-03","Đã test trước tháng 7 và đạt"
"TC-AUTH-044","Kiểm tra đăng nhập Google","Đăng nhập","Tích cực","Người dùng mở trang đăng nhập","1. Nhấp đăng nhập Google; 2. Hoàn tất OAuth Google; 3. Chuyển hướng về lại","Tài khoản Google hợp lệ","Người dùng đăng nhập thành công","Người dùng đăng nhập thành công","Chrome","Đạt","Nhóm QA","2026-06-03","Đã test trước tháng 7 và đạt"
"TC-AUTH-045","Kiểm tra đăng ký với dữ liệu hợp lệ","Đăng ký","Tích cực","Người dùng mở trang đăng ký","1. Mở trang đăng ký; 2. Nhập dữ liệu hồ sơ hợp lệ; 3. Gửi","Dữ liệu đăng ký hợp lệ","Tài khoản được tạo thành công","Tài khoản được tạo thành công","Chrome","Đạt","Nhóm QA","2026-06-03","Đã test trước tháng 7 và đạt"
"TC-AUTH-046","Kiểm tra đăng ký với email đã tồn tại","Đăng ký","Tiêu cực","Người dùng mở trang đăng ký","1. Mở trang đăng ký; 2. Nhập email đã tồn tại; 3. Gửi","Email đã tồn tại","Email đã được sử dụng","Email đã được sử dụng","Chrome","Không đạt","Nhóm QA","2026-06-03","Lỗi đã biết trước khi sửa tháng 7"
"TC-AUTH-047","Kiểm tra yêu cầu đặt lại mật khẩu","Quên mật khẩu","Tích cực","Người dùng mở trang quên mật khẩu","1. Mở trang quên mật khẩu; 2. Nhập email đã đăng ký; 3. Gửi","Email đã đăng ký","Gửi email đặt lại mật khẩu","Gửi email đặt lại mật khẩu","Chrome","Đạt","Nhóm QA","2026-06-03","Đã test trước tháng 7 và đạt"
"TC-WEB-048","Kiểm tra trang chủ hiển thị khi chưa đăng nhập","Trang chủ","Tích cực","Khách truy cập vào trang","1. Mở trang chủ; 2. Kiểm tra banner và điều hướng","Không cần đăng nhập","Trang chủ hiển thị nội dung","Trang chủ hiển thị nội dung","Chrome","Đạt","Nhóm QA","2026-06-03","Đã test trước tháng 7 và đạt"
"TC-WEB-049","Kiểm tra tìm kiếm trên trang chủ","Trang chủ","Tích cực","Khách trên trang chủ","1. 1. Nhập từ khóa tìm kiếm; 2. Gửi; 3. Kiểm tra kết quả","Từ khóa 'laptop'","Trang kết quả tìm kiếm mở","Trang kết quả tìm kiếm mở","Chrome","Đạt","Nhóm QA","2026-06-03","Đã test trước tháng 7 và đạt"
"TC-WEB-050","Kiểm tra trang chi tiết sản phẩm","Chi tiết sản phẩm","Tích cực","Người dùng mở liên kết sản phẩm","1. Mở chi tiết sản phẩm; 2. Kiểm tra thông tin sản phẩm","URL sản phẩm hợp lệ","Trang chi tiết sản phẩm hiển thị","Trang chi tiết sản phẩm hiển thị","Chrome","Đạt","Nhóm QA","2026-06-03","Đã test trước tháng 7 và đạt"
"TC-WEB-051","Kiểm tra thêm vào giỏ hàng sau khi đăng nhập","Giỏ hàng","Tích cực","Người dùng đã đăng nhập và trên trang sản phẩm","1. Nhấp thêm vào giỏ hàng; 2. Kiểm tra giỏ hàng","Người dùng đã đăng nhập","Mặt hàng được thêm vào giỏ hàng","Mặt hàng được thêm vào giỏ hàng","Chrome","Đạt","Nhóm QA","2026-06-03","Đã test trước tháng 7 và đạt"
"TC-WEB-052","Kiểm tra khách thêm vào giỏ hàng yêu cầu đăng nhập","Giỏ hàng","Tiêu cực","Khách trên trang sản phẩm","1. Nhấp thêm vào giỏ hàng khi là khách; 2. Quan sát hành vi","Người dùng khách","Chuyển hướng đến yêu cầu đăng nhập","Chuyển hướng đến yêu cầu đăng nhập","Chrome","Không đạt","Nhóm QA","2026-06-03","Lỗi đã biết trước khi sửa tháng 7"
"TC-WEB-053","Kiểm tra thanh toán yêu cầu xác thực","Thanh toán","Tiêu cực","Khách có sản phẩm trong giỏ hàng","1. Mở trang thanh toán khi là khách; 2. Gửi","Người dùng khách","Hiển thị yêu cầu đăng nhập","Hiển thị yêu cầu đăng nhập","Chrome","Không đạt","Nhóm QA","2026-06-03","Lỗi đã biết trước khi sửa tháng 7"
"TC-WEB-054","Kiểm tra thêm vào yêu thích yêu cầu đăng nhập","Yêu thích","Tiêu cực","Khách trên trang sản phẩm","1. Nhấp thêm vào yêu thích khi là khách; 2. Quan sát hành vi","Người dùng khách","Chuyển hướng đến yêu cầu đăng nhập","Chuyển hướng đến yêu cầu đăng nhập","Chrome","Không đạt","Nhóm QA","2026-06-03","Lỗi đã biết trước khi sửa tháng 7"
"TC-WEB-055","Kiểm tra trang hồ sơ hiển thị thông tin người dùng","Hồ sơ","Tích cực","Người dùng đã đăng nhập","1. Mở trang hồ sơ; 2. Kiểm tra thông tin","Người dùng đã đăng nhập","Hiển thị dữ liệu hồ sơ","Hiển thị dữ liệu hồ sơ","Chrome","Đạt","Nhóm QA","2026-06-03","Đã test trước tháng 7 và đạt"
"TC-WEB-056","Kiểm tra lịch sử đơn hàng hiển thị","Lịch sử đơn hàng","Tích cực","Người dùng đã đăng nhập và có đơn hàng","1. Mở lịch sử đơn hàng; 2. Kiểm tra danh sách đơn","Người dùng đã đăng nhập","Hiển thị danh sách đơn hàng","Hiển thị danh sách đơn hàng","Chrome","Đạt","Nhóm QA","2026-06-03","Đã test trước tháng 7 và đạt"
"TC-WEB-057","Kiểm tra chatbot chào mừng trên trang chủ","Chatbot","Tích cực","Khách trên trang chủ","1. Mở chatbot; 2. Kiểm tra lời chào","Không cần đăng nhập","Chatbot hiển thị lời chào","Chatbot hiển thị lời chào","Chrome","Đạt","Nhóm QA","2026-06-03","Đã test trước tháng 7 và đạt"
"TC-WEB-058","Kiểm tra bài viết tin tức hiển thị","Tin tức","Tích cực","Khách trên trang tin tức","1. Mở bài viết; 2. Kiểm tra nội dung","Liên kết bài viết hợp lệ","Nội dung tin tức hiển thị","Nội dung tin tức hiển thị","Chrome","Đạt","Nhóm QA","2026-06-03","Đã test trước tháng 7 và đạt"
"TC-WEB-059","Kiểm tra bộ lọc danh mục hoạt động","Danh mục","Tích cực","Khách trên trang danh mục","1. Chọn danh mục; 2. Kiểm tra danh sách sản phẩm","Bộ lọc danh mục","Hiển thị sản phẩm đã lọc","Hiển thị sản phẩm đã lọc","Chrome","Đạt","Nhóm QA","2026-06-03","Đã test trước tháng 7 và đạt"
"TC-WEB-060","Kiểm tra banner khuyến mãi hiển thị đúng chương trình","Khuyến mãi","Tích cực","Khách trên trang chủ","1. Mở trang chủ; 2. Kiểm tra banner khuyến mãi","Không cần đăng nhập","Banner khuyến mãi hiển thị","Banner khuyến mãi hiển thị","Chrome","Đạt","Nhóm QA","2026-06-03","Đã test trước tháng 7 và đạt"
"TC-AUTH-061","Kiểm tra đăng nhập với thông tin hợp lệ","Đăng nhập","Tích cực","Người dùng mở trang đăng nhập","1. Mở trang đăng nhập; 2. Nhập email và mật khẩu hợp lệ; 3. Gửi","Email/mật khẩu hợp lệ","Người dùng đăng nhập thành công","Người dùng đăng nhập thành công","Chrome","Đạt","Nhóm QA","2026-06-04","Đã test trước tháng 7 và đạt"
"TC-AUTH-062","Kiểm tra đăng nhập với mật khẩu không hợp lệ","Đăng nhập","Tiêu cực","Người dùng mở trang đăng nhập","1. Mở trang đăng nhập; 2. Nhập email hợp lệ và mật khẩu không hợp lệ; 3. Gửi","Email hợp lệ/mật khẩu không hợp lệ","Hiển thị thông báo lỗi","Hiển thị thông báo lỗi","Chrome","Không đạt","Nhóm QA","2026-06-04","Lỗi đã biết trước khi sửa tháng 7"
"TC-AUTH-063","Kiểm tra đăng nhập với email không tồn tại","Đăng nhập","Tiêu cực","Người dùng mở trang đăng nhập","1. Mở trang đăng nhập; 2. Nhập email không tồn tại; 3. Gửi","Email/mật khẩu không tồn tại","Hiển thị thông báo lỗi","Hiển thị thông báo lỗi","Chrome","Đạt","Nhóm QA","2026-06-04","Đã test trước tháng 7 và đạt"
"TC-AUTH-064","Kiểm tra đăng nhập Google","Đăng nhập","Tích cực","Người dùng mở trang đăng nhập","1. Nhấp đăng nhập Google; 2. Hoàn tất OAuth Google; 3. Chuyển hướng về lại","Tài khoản Google hợp lệ","Người dùng đăng nhập thành công","Người dùng đăng nhập thành công","Chrome","Đạt","Nhóm QA","2026-06-04","Đã test trước tháng 7 và đạt"
"TC-AUTH-065","Kiểm tra đăng ký với dữ liệu hợp lệ","Đăng ký","Tích cực","Người dùng mở trang đăng ký","1. Mở trang đăng ký; 2. Nhập dữ liệu hồ sơ hợp lệ; 3. Gửi","Dữ liệu đăng ký hợp lệ","Tài khoản được tạo thành công","Tài khoản được tạo thành công","Chrome","Đạt","Nhóm QA","2026-06-04","Đã test trước tháng 7 và đạt"
"TC-AUTH-066","Kiểm tra đăng ký với email đã tồn tại","Đăng ký","Tiêu cực","Người dùng mở trang đăng ký","1. Mở trang đăng ký; 2. Nhập email đã tồn tại; 3. Gửi","Email đã tồn tại","Email đã được sử dụng","Email đã được sử dụng","Chrome","Không đạt","Nhóm QA","2026-06-04","Lỗi đã biết trước khi sửa tháng 7"
"TC-AUTH-067","Kiểm tra yêu cầu đặt lại mật khẩu","Quên mật khẩu","Tích cực","Người dùng mở trang quên mật khẩu","1. Mở trang quên mật khẩu; 2. Nhập email đã đăng ký; 3. Gửi","Email đã đăng ký","Gửi email đặt lại mật khẩu","Gửi email đặt lại mật khẩu","Chrome","Đạt","Nhóm QA","2026-06-04","Đã test trước tháng 7 và đạt"
"TC-WEB-068","Kiểm tra trang chủ hiển thị khi chưa đăng nhập","Trang chủ","Tích cực","Khách truy cập vào trang","1. Mở trang chủ; 2. Kiểm tra banner và điều hướng","Không cần đăng nhập","Trang chủ hiển thị nội dung","Trang chủ hiển thị nội dung","Chrome","Đạt","Nhóm QA","2026-06-04","Đã test trước tháng 7 và đạt"
"TC-WEB-069","Kiểm tra tìm kiếm trên trang chủ","Trang chủ","Tích cực","Khách trên trang chủ","1. 1. Nhập từ khóa tìm kiếm; 2. Gửi; 3. Kiểm tra kết quả","Từ khóa 'laptop'","Trang kết quả tìm kiếm mở","Trang kết quả tìm kiếm mở","Chrome","Đạt","Nhóm QA","2026-06-04","Đã test trước tháng 7 và đạt"
"TC-WEB-070","Kiểm tra trang chi tiết sản phẩm","Chi tiết sản phẩm","Tích cực","Người dùng mở liên kết sản phẩm","1. Mở chi tiết sản phẩm; 2. Kiểm tra thông tin sản phẩm","URL sản phẩm hợp lệ","Trang chi tiết sản phẩm hiển thị","Trang chi tiết sản phẩm hiển thị","Chrome","Đạt","Nhóm QA","2026-06-04","Đã test trước tháng 7 và đạt"
